created_at,full_text,sentiment
Tue Jun 17 13:13:45 +0000 2025,Pembayaran Harian yang Praktis Ada PEXX Card yang bisa kamu pakai untuk membayar layanan transportasi online seperti Gojek atau Grab hingga berbelanja di e-commerce seperti Tokopedia dan Shopee. Nggak perlu repot top-up banyak aplikasi cukup satu kartu untuk semua.,neutral
Tue Jun 17 12:46:31 +0000 2025,Aplikasi online yg ada fitur mobil pick up nya apa ya? Yg mobil bak kebuka itu. Soalnya di gojek rasanya bukan pick up,negative
Tue Jun 17 12:10:21 +0000 2025,Aku lagi survey data tentang seberapa sering kita pakai aplikasi kayak Gojek Grab Maxim sama Shopee Food. Tenang aja surveinya: Super singkat! Cuma 9 pertanyaan https://t.co/2rEDZ7pmby Makasih ya buat yang udah mau nyempetin waktu! You're the best!,neutral
Tue Jun 17 10:50:57 +0000 2025,@e100ss Bukan ide baru. Bahkan lahirnya gojek juga awalnya krn ada aplikasi semacam ini. Terbukti gabisa jd solusi. Transum tetep jawaban.,negative
Tue Jun 17 10:16:52 +0000 2025,Pesan Taksi Listrik Green SM Kini Bisa via Aplikasi Gojek https://t.co/6lphrM4jJ4,positive
Tue Jun 17 10:00:02 +0000 2025,Perluas akses layanan taksi listrik Green SM kini bisa dipesan via aplikasi Gojek! #ThePhraseID #GreenSM #Gojek #taksilistrik #EV #BEV #ElectricVehicle #mobillistrik #otomotif https://t.co/WsAefuqE46,positive
Tue Jun 17 03:49:43 +0000 2025,@txtdrjkt 2013. Gw pake google maps mau ke Samsat Barat muter Semanggi 3x nyerah. Dpn hotel bilangan Kuningan gw samperin Gojek yg baru nurunin penumpang. Minta anter. Bayar sesuai aplikasi masukin kode id order yg dikasih mamangnya. Eh dibawa masuk jalur busway &amp; gabisa nolak. ‍️,negative
Tue Jun 17 03:37:53 +0000 2025,ada ga yg bisa cairin gopaylater via gofood atau apapun itu di aplikasi gojek?? #zonauang,neutral
Mon Jun 16 14:04:36 +0000 2025,@thelittleeight gojek aja jarang ada yg mau ngambil dari aplikasi kak rata2 pada nembak. gocar juga pasti gituu apalagi kalo macet biasanya pada males ngambil,negative
Mon Jun 16 13:14:30 +0000 2025,@JO0YCCC surabaya emang murce nder gojek/grabnya asal gak yang naik tanpa aplikasi ditembak entar *korban 20k,positive
Mon Jun 16 12:59:12 +0000 2025,aplikasi gojek sama spotify kalo bisa jangan disatuin di slide yg sama. selalu sukses bikin keder,positive
Mon Jun 16 12:46:02 +0000 2025,Cara Atasi Kendala Top Up Pulsa Tri: 1. Cek saldo rekening &amp; pastikan cukup 2. Restart HP coba top up ulang 3. Coba top up di aplikasi berbeda (misal Gojek Dana atau Shopee) 4. Hubungi CS @3careindonesia melalui WA Semoga berhasil!,neutral
Mon Jun 16 10:03:56 +0000 2025,Green SM dan Gojek berkolaborasi dalam penyediaan layanan Green SM di aplikasi Gojek,positive
Mon Jun 16 05:31:01 +0000 2025,semoga penyakit suka mindah2in titik sendiri ke tempat yg jauh padahal gua masih di tempat yg sama ky pesenan sebelomnya yg diderita aplikasi gojek cpt sembuh anjg,negative
Mon Jun 16 04:27:42 +0000 2025,@kayiaeo_O Selamat siang. Apabila yang dimaksud E-Toll (E-Money terbitan Bank Mandiri) kartu tersebut dapat digunakan untuk perjalanan Commuter Line Prameks. Untuk pembelian QR tiket di aplikasi Gojek pada fitur GoTransit belum dapat ditentukan masuk kuota tiket. Pembelian QR tiket bisa,neutral
Mon Jun 16 01:45:41 +0000 2025,Green SM penyedia layanan armada 100 persen taksi listrik resmi berkolaborasi dengan Gojek dalam menghadirkan layanan GoGreen SM yang kini tersedia di aplikasi Gojek. ~TA #GreenSM #Gojek https://t.co/WDtz4ZvQvy,positive
Mon Jun 16 00:11:12 +0000 2025,@Kirito1765 Belinya lewat apa? Aplikasi mereka atau gojek/ovo/shopeepay atau mbanking? Kemaren ngisi lewat mbanking mandiri dan bca gak ada masalah.,neutral
Sun Jun 15 12:45:45 +0000 2025,@tanyarlfes Aplikasi gojek nder,neutral
Sun Jun 15 11:16:42 +0000 2025,@3ahriii_ Selamat malam Kak. QRIS Tap saat ini belum bisa digunakan sebagai tiket Commuter Line ya kak alternatif bisa unduh aplikasi c-acces/access by KAI/Gojek (Gotransit) untuk pembelian tiket via scan QR code ya Kak. Tks.,neutral
Wed Jun 11 23:37:02 +0000 2025,@waafahal @jadijago seharusnya Rp0 keterangannya knp harus beda jumlah saldo di aplikasi gopay sama gojek kalau sudah di transfer ke gopay tabungan saya lihat ini juga terjadi dibeberapa customer yg baru pertama kali buat gopay tabungan seperti halnya yg terjadi di saya ada yg sampai jutaan juga,negative
Wed Jun 11 23:33:57 +0000 2025,@waafahal @gopayindonesia tapi saya lihat di akun lain seharusnya Rp0 di gopay saldo terus knp keterangan saldo di aplikasi gopay sama gojek bisa beda??,negative
Wed Jun 11 19:46:56 +0000 2025,@BaseBDG Buat kalian kalau mau beli beras beli d gomart aja (aplikasi gojek) belinya tiap harus sabtu harganya sktar 62rb dan free ongkir,positive
Wed Jun 11 15:51:30 +0000 2025,memang aplikasi gojek ini penyelamat di segala kondisi. bisa apa gue tanpa abang2 gojek. love gojek️️ https://t.co/XLvGlAyBKw,positive
Wed Jun 11 12:10:13 +0000 2025,Deadline mepet hujan deras motor gak bisa dipake? Langsung aja buka aplikasi Gojek order GoRide bayar pake GoPay. Jangan lupa pakai promo PASTIADAJALAN biar makin hemat! @gojekindonesia #PASTIADAJALAN https://t.co/i5Qy6Qule0,positive
Wed Jun 11 11:34:49 +0000 2025,Pov: Semua promo kyak muncul disaat yg paling dibutuhkan tiap buka aplikasi Gojek @gojekindonesia #GSKSMG2025 #PASTIADAJALAN #GOJEK https://t.co/54CCo5sai9,positive
Wed Jun 11 06:24:00 +0000 2025,Gw baru tau klo gojek di aplikasi drivernya akun gw ada notesnya pelanggan ini titik penjemputan tidak selalu tepat harap menghubungi kembali Kek gw ngerasa dih apebuedh,negative
Wed Jun 11 02:06:51 +0000 2025,@yolanderf @wookiesn @BaseBDG enggak dia instal aplikasi grab/gojek dll. trs pesen dari titik A ke titik B ntar di situ ada titik2 ijo letak driver terdekat. tinggal d liat aja d map nya ada dimana tuh driver tp y random,neutral
Wed Jun 11 01:24:34 +0000 2025,@mdrfhyt gojek mau berubah jadi aplikasi fintech wkwkw,positive
Tue Jun 10 16:07:45 +0000 2025,BISA INI ITU DENGAN GOJEK??? Bisa banget dapet hadiah jutaan dari GOJEK dengan redeem kode #PASTIADAJALAN di Aplikasi Gojek! Klaim kore unikmu dan menangkan banyak hadiahnya‼️ #GSKPWT2025 #NgampusHematBarengGojek #GojekSahabatKampus @gojekindonesia https://t.co/vFpsxctrA6,neutral
Tue Jun 10 15:26:29 +0000 2025,Mau diskon gede buat GoRide ke/dari stasiun? Pake aja kode promo GOSTASIUN + GOINF25 pas transaksi di aplikasi Gojek kamu! Langsung berasa hematnya. Buruan sikat! #GOSTASIUN #GOINF25 #GSKPWT2025 #NgampusHematBarengGojek #GojekSahabatKampus @gojek.yogyakarta https://t.co/1eC06KRMvj,neutral
Tue Jun 10 15:01:55 +0000 2025,@ppngjijimagu Selamat malam Kak apabila belum melakukan tap out dengan aplikasi Gojek untuk perjalanan esok hari maka bisa dilakukan ya apabila terdapat kendala silakan bisa menghubungi petugas di stasiun keberangkatan. Tks.,neutral
Tue Jun 10 14:24:27 +0000 2025,HAAHH!!!?! kapan lagi setiap pake aplikasi Gojek bakal dapet hadiah menarik!!! Jangan lupa dipake guys kode promo PASTIADAJALAN yaa temen temen siapa tau kalian bakal dapetin hadiah hadiah menariknya!!! @gojek_smg @gojekindonesia #GSKSMG2025 https://t.co/xiJVVPPihX,neutral
Tue Jun 10 14:19:28 +0000 2025,HAAHH!!!?! kapan lagi setiap pake aplikasi Gojek bakal dapet hadiah menarik!!! Jangan lupa dipake guys kode promo PASTIADAJALAN yaa temen temen siapa tau kalian bakal dapetin hadiah hadiah menariknya!!! @gojek_smg @gojekindonesia #GSKSMG2025 https://t.co/AgsVRnNAhA,neutral
Tue Jun 10 14:11:53 +0000 2025,@gojekindonesia saya mau tanya ini kenapa bisa terjadi ya saya pesan gofood dan titik pengantaran/alamat sudah sesuai tapi titiknya malah berbeda jauh dengan yang di drivernya? jadinya malah harus shareloc di luar aplikasi gojek. ini buat gak nyaman antara cust &amp; driver.,negative
Mon Jun 09 14:15:42 +0000 2025,Mau dapet hadiah jutaan rupiah cuma dari pakai Gojek? YEP kamu nggak salah baca. #PastiAdaJalan buat menang asal kamu gercep! Buruan cek di aplikasi Gojek sekarang! #NgampusHematBarengGojek #PromoGojek #GSKPWT2025 #GojekSahabatKampus @gojekindonesia https://t.co/RgXa4PKoaU,neutral
Mon Jun 09 13:49:29 +0000 2025,@vespamatic96 Klo gitu Ama aja om...Napa Lo ngojek pake gojek bukan pake Maxim...Lo bikin kaya yg punya gojek...coba Lo GX pake aplikasi gojek...bakalan tutup tu gojek...sama GX kira2x om narasinya,negative
Mon Jun 09 11:30:50 +0000 2025,Cara apply code voucher 1. Buka Aplikasi Gojek dan pilih promo 2. ⁠Pilih Masukan kode promo 3. ⁠Masukan Kode GOFPS dan validasi kodenya kalau udh redeem kode GOFPS nya kamu bisa masukin promo PASTIADAJALAN,neutral
Mon Jun 09 10:57:45 +0000 2025,Hallo gyuss Aku salah satu pengguna gojek hemat yang pastinya memudahkan dalm kegiatan sehari-hari yukk kalian juga cobain promonya di aplikasi gojek @gojekindonesia #GSKSEMARANG2025 #Gojek #zona jajan #goride https://t.co/NNcrYe35X4,positive
Mon Jun 09 06:43:22 +0000 2025,@tsun_shine @farhanrivaldy_ Kalo login gojek kan dapet otp nah otp nya dimasukan ke aplikasi tapi karena ini fake otp itu masuk ke telegram scammer dia nge loop berkali kali agar scammer pusing bangak otp palsu,neutral
Mon Jun 09 06:20:39 +0000 2025,Hampir saja tangan ini menyentuh aplikasi Gojek. Tahan tahan,neutral
Mon Jun 09 05:46:49 +0000 2025,@floweryliy Heeeehhhh cucu gundik emang HP maneh te boga aplikasi ojolkah ??? Grab gojek indriver maxim uber anjiirrrrr boa cicing d leweng sugan,neutral
Mon Jun 09 04:59:18 +0000 2025,Cara apply code voucher 1. Buka Aplikasi Gojek dan pilih promo 2. ⁠Pilih Masukan kode promo 3. ⁠Masukan Kode GOFPS dan validasi kodenya kalau udh redeem kode GOFPS nya kamu bisa masukin promo PASTIADAJALAN GAMPANG BANGET KAN? AYO CEPETAN APPLY KODE NYA,neutral
Mon Jun 09 04:45:54 +0000 2025,sumpah trmen trmen maaf tbtb balik ini ada paket salah kirim ke rumahku sumpah.. paket nya dikirim pake gojek aku terima trs aku bayar soalnya KIRAIN GOFOOD AKU YG LAGI DI JALAN JG aku liat aplikasi abang abangnya udh di deket rumah juga aku kaget kok pas dibuka isinya bkn,neutral
Mon Jun 09 04:13:24 +0000 2025,Mau hemat ngapain aja? AYO PAKE GOJEKPLUS buat dapetin banyak promo. Buka aplikasi Gojek pake m kode referal GOECOPICK untuk diskon spesial yang bikin kantong kamu tetap aman! #pastiadajaln #gojek #goridehemat #gsk2025 #gojeksahabatkampus @gojek_smg https://t.co/qNiwqXWnq8,neutral
Mon Jun 09 02:56:58 +0000 2025,Top 3 most annoying ads while playing mobile games: 3. Traveloka 2. Grab/Gojek Harus dipencet min 3 buat nutup salah pencet dikit langsung pindah aplikasi. 1. Adakami Auto instal sendiri aplikasinya. So annoying.,negative
Mon Jun 09 02:04:54 +0000 2025,@kazegakieta @KAI121 Selamat pagi Kak. Untuk pembelian tiket perjalanan Commuter Line via aplikasi GoJek diwajibkan untuk scan in dan out sesuai dengan stasiun yang tertera pada tiket. Untuk perjalanan yang Kakak lakukan silakan dapat menemui petugas Passenger Service di Stasiun akhir tujuannya untuk,neutral
Sun Jun 08 23:39:40 +0000 2025,@LoversSinglet @infomalang Di terminal ada shelter grab atau gojek kok lokasinya di sebelah pom bensin pas. Tarifnya sesuai aplikasi &amp; kalau minta dijemput bisa req disitu.,positive
Sun Jun 08 17:05:59 +0000 2025,VOUCHER PROMO PAKAI GORIDE DISKON 90% !! [RESTOCK TERBATAS] GO47PVTNX7UF GORIDEAJA [WAJIB REDEEM SEBELUM KEHABISAN] Redeem di aplikasi gojek atau bisa langsung klik link https://t.co/YxSBhCXLnD https://t.co/uJbyddM3q8,neutral
Sun Jun 08 16:59:57 +0000 2025,@kth_kaa Jika lupa klaim voucher GORIDEAJA coba hubungi customer support Gojek lewat aplikasi: buka Menu Utama pilih Help Center lalu Vouchers and Promotion dan laporkan My voucher is missing . Bisa juga coba kontak via media sosial resmi Gojek tapi cek dulu akun resminya. Tidak ada,neutral
Sun Jun 08 15:22:56 +0000 2025,lagunya perunggu tuh sgt related bgt buat anak rantau yang suka homesick lagu ini tuh jadi motivasi buat mimin buat ngejalanin apa yang mimin sudah mulai mimin jadi semangat buat ikutan campaign kode PASTIADAJALAN di aplikasi gojek #GSKSMG2025 #GOJEKHEMAT @gojekindonesia https://t.co/TITDSFPPKV,neutral
Sun Jun 08 13:25:59 +0000 2025,Gak peduli seberapa macet hujan atau sibuk harimu... #PASTIADAJALAN bareng Gojek! Semua ada solusinya: mau makan kirim barang sampai cari ojek. Satu aplikasi jutaan kemudahan. https://t.co/3lNtQMZUal,neutral
Sun Jun 08 12:37:07 +0000 2025,untukku bank jago : aku pakai gojek app dan udh otomatis konek ke bank jago walau aku ga punya aplikasi dan bukan nasabah selain itu aku pake bibit yg konek ke gojek. kalau seabank : kena iming dari temen aku yg katanya bunga cair tiap hari aku pengen tau ± lainnya apa,neutral
Sun Jun 08 10:36:15 +0000 2025,-dips! Tiap hari pesen GoFood GoRide sampe GoSend. Langganan Gojek Plus diskon melimpah dompet aman! Buka aplikasi pesen apa aja hemat terus. @gojekindonesia bikin hidup gampang! https://t.co/Vzv2xyvveN,neutral
Sun Jun 08 09:57:56 +0000 2025,Tiap hari pesen GoFood GoRide sampe GoSend? Langganan Gojek Plus juga dongg!!! Diskon melimpah dompet aman! Buka aplikasi pesen apa aja hemat terus. @gojekindonesia bikin hidup lebih gampang! #GSKSMG2025 https://t.co/X9JX0CmXtt,neutral
Sun Jun 08 09:54:32 +0000 2025,@toe_giman Ini konten aja kan soalnya masnya nelpon pakai wa kalo aplikasi Gojek g kyk gt,neutral
Sun Jun 08 09:36:02 +0000 2025,Naik Gojek gak harus mahal! Pakai #GojekHemat dapetin DISKON tiap hari mulai dari Rp5.000-an aja! Tetep nyaman. Tetep aman. Tetep irit. ️ Cek promonya di aplikasi sekarang! #GojekHemat #PASTIADAJALAN https://t.co/xBsEKqFznd,neutral
Sun Jun 08 08:41:37 +0000 2025,Semua urusan harian? Gojek solusinya! Pakai kode GOJEKHEMAT di aplikasi Gojek buat nikmatin diskon spesial di tiap layanan. Masukkan juga kode referral GOECOPICK Jangan sampai ketinggalan promonya! #pastiadajalan #gsk2025 #gojeksahabatkampus @Gojek_Semarang https://t.co/puC2HOAqoC,neutral
Sun Jun 08 08:16:33 +0000 2025,Pakai kode promo PASTIADAJALAN di aplikasi Gojek untuk berbagai layanan dari transportasi sampai kirim barang. Masukkan kode referral GOECOPICK agar kamu dapat bonus menarik dan aku ikut terbantu! #pastiadajalan #gsk2025 #gojeksahabatkampus @Gojek_Semarang https://t.co/zu24qJjCVr,neutral
Sun Jun 08 06:18:02 +0000 2025,Hello min @gojekindonesia @gojektech usul tolong go-food dilengkapi fitur share loc seperti gosend &amp; gojek. Sering jg kami order makan utk org lain/keluarga &amp; g bisa terus pantau aplikasi utk cek posisinya dmn &amp; harus kabari penerima. Dgn share loc penerima bisa cek sendiri. Ty,neutral
Sun Jun 08 04:52:23 +0000 2025,Dari pada langganan aplikasi yang jarang kamu pake. mending langganan gojek plus disana kamu bakal dapetin berbagai diskon disetiap transaksinya. ga bakal rugi deh auto happy teruss! @gojek_soloraya #GSKSOLO2025 #GOJEKPLUS https://t.co/jY9K3OXg5C,neutral
Sun Jun 08 03:36:29 +0000 2025,Mau cepat aman dan tanpa ribet? #PakeGojek aja! Dari antar makanan sampai kirim paket semua beres dalam satu aplikasi. #Gojek #PASTIADAJALAN https://t.co/O3z8i5z1og,neutral
Sun Jun 08 03:12:29 +0000 2025,Lu bayangin gw mantengin aplikasi grab gojek hampir 20 menit udah dicancel driver car mereka lebih dari 5x kondisi jalan gak macet samsek mereka cm ga mau muter balik doang padahal gw bayar loh. Gua ngabisin 20 menit gua buat nunggu driver nerima orderan gw doang,negative
Sun Jun 08 01:52:13 +0000 2025,@hariantimeline Lah aplikasi gojek aja coding nye boleh nyontek Dr si grab punya. Kalo lo mau tau dia beli coding nya si grab Dan cuma ganti bbrp fitur doank.,negative
Sat Jun 07 21:44:32 +0000 2025,@pln_123 halo admin kenapa saya mau beli token di aplikasi gojek selalu gagal???,negative
Sat Jun 07 16:00:59 +0000 2025,Lagi ngerasa stuck? Wajar. Hidup nggak selalu mulus. Tapi tenang #PASTIADAJALAN. Gojek siap nemenin setiap langkahmu Gunakan kode promo: PASTIADAJALAN Dapetin diskon spesial buat GoRide GoFood dan GoSend! Yuk buka aplikasi Gojek sekarang. @gojekindonesia #GSKSMG2025 https://t.co/519tToCGMy,neutral
Sat Jun 07 13:48:39 +0000 2025,Tadi pas mau cari makan malam kok malas banget ya cari makanan di luar. Untung aja tadi nemu kode promo PASTIADAJALAN di gojek pas bangett kondisinya. Ayukk guysss bisa masukkin kodenya di aplikasi gojek @gojekindonesia #GSKSMG2025 https://t.co/vsNJl9959u,neutral
Sat Jun 07 13:34:43 +0000 2025,jujur gue badmood banget kalo iklan gojek di gue... soalnya ga keitung langsung lari ke aplikasi nya jadi ke refresh... bisa ga sih jangan buat gue nangis gegara vote,negative
Sat Jun 07 10:03:01 +0000 2025,Gojek = Aplikasi layanan transportasi ️ Gojeg = Bahasa Jawa yang berarti bercanda Dua kata ini bunyinya mirip tapi artinya beda jauh. Jadi kalau naik GO-JEK jangan kebanyakan gojeg biar abangnya tetap fokus ke jalan!,neutral
Sat Jun 07 09:00:42 +0000 2025,Baru tau kalo ada aplikasi kupon begini tapi cuma bisa makan ditempat kirain bisa order pake gojek https://t.co/9vYLJmNz90,neutral
Fri Jun 06 01:18:05 +0000 2025,@EdsNababan Kan udah ready tupatnya tinggal masuk aplikasi gojek klik go send gampang kan.,positive
Thu Jun 05 16:32:23 +0000 2025,Tadi dapet abang Gojek Tuna Rungu beliau info by chat dan terpampang Namanya di Aplikasi. Luckily msh inget bahasa isyarat hasil dari jd relawan APG terus Abang nya kayak senyumnya lebar gt huaa https://t.co/N17pcGfqfD,positive
Thu Jun 05 09:30:42 +0000 2025,MASIH ADA TOTAL 5 GR EMAS BUAT KAMU‼️ Ini kesempatan kamu buat tebak dan menangin hadiahnya! Cek #PestaKulinerGoFood di aplikasi Gojek untuk tau jawabannya https://t.co/lgch4s2iAB,neutral
Thu Jun 05 09:02:03 +0000 2025,* Cashback 15% untuk Ganti Suku Cadang di Planet Ban * Cashback 10% untuk Ganti Ban di Planet Ban| * GRATIS Isi Nitrogen Ayo serbu promonya di halaman Swadaya pada aplikasi Gojek Driver! #GojekSwadaya #SalamSatuAspal #HematDenganSwadaya #PromoPlanetBan #BanPresaPlaneto,neutral
Thu Jun 05 09:00:46 +0000 2025,Nge-bid bebas cemas dengan perlindungan dari BPJS Ketenagakerjaan. Banyak manfaatnya! Cek aplikasi Gojek Driver klik Banner BPJS-TK dan daftar sekarang juga! Promo terbatas! #GojekSwadaya #PromoBPJSTK #SalamSatuAspal #HematDenganSwadaya,neutral
Thu Jun 05 08:23:10 +0000 2025,VOUCHER PROMO GORIDE TERBARU SPESIAL LIBURAN IDUL ADHA &amp; TIMNAS DAY!! GOINDONESIA GO47PVTNX7UF YUKLIBUR [WAJIB REDEEM SEBELUM KEHABISAN] Redeem di aplikasi gojek atau bisa langsung klik link https://t.co/YxSBhCXLnD https://t.co/qspG4wpStG,neutral
Thu Jun 05 06:54:08 +0000 2025,oy apaan gojek minta duit di luar aplikasi,negative
Thu Jun 05 06:34:51 +0000 2025,VOUCHER PROMO GOJEK TERBARU SPESIAL LIBURAN IDUL ADHA!! [RESTOCK] GO47PVTNX7UF YUKLIBUR [WAJIB REDEEM SEBELUM KEHABISAN] Redeem di aplikasi gojek atau bisa langsung klik link https://t.co/YxSBhCXdy5 https://t.co/kPWvux3x1O,neutral
Thu Jun 05 05:37:36 +0000 2025,@ofBabyMonster @user Berdasarkan keluhan di X pengguna GoPay di Indonesia sering melaporkan error aplikasi seperti transaksi gagal dan crash saat digunakan di app Gojek. Banyak juga yang kesulitan menghubungi layanan pelanggan dengan laporan CS tidak responsif. Selain itu ada masalah akses,negative
Thu Jun 05 04:06:20 +0000 2025,Aplikasi gojek udeh ga ada di apps store ya,neutral
Thu Jun 05 03:21:02 +0000 2025,aplikasi gojek knpa siii?,negative
Thu Jun 05 03:14:34 +0000 2025,Aplikasi gojek tolol bgt eror terus,negative
Wed Jun 04 15:48:56 +0000 2025,@jokes4country @GrabID @gojekindonesia Kebijakan goblok karena ga ada pilihan lain untuk 6 orang! Harusnya ada pilihan di mana bisa ga pake gambling... Itu maksud gua... Aturan itu udah gua baca dan GA ADA PILIHAN NON ELEKTRIK DI APLIKASI GRAB GUA... Mo gojek ubah bodo amat yang penting mereka ada...,negative
Wed Jun 04 14:22:18 +0000 2025,@DPlusID_Help mau bayar pake gopay kok ga bisa? You've linked with this number before ga ke aplikasi gojek nya mau bayar ga bisa,negative
Wed Jun 04 13:45:01 +0000 2025,Bingung mau pulang tapi duitnya pas-pasan? Mama dirumah udah kangen banget tapi kamu gabisa pulang. GORIDE solusinya masukin kode promo GOSTASIUN atau kode GOECOFAIR di aplikasi gojek langsung bisa pulang pergi ke rumah tanpa mikir duit habis. #GSKSOLO2025 @gojekindonesia https://t.co/6kmMP8JqKF,neutral
Wed Jun 04 13:23:22 +0000 2025,Mau ikut irit juga? Daftar dulu pake kode GOKIHMSI terus subscribe GoJek Plus langsung di aplikasi. @gojekindonesia https://t.co/auG3jScwHh,neutral
Wed Jun 04 13:16:05 +0000 2025,jujur ya pengen ngelaporin gojek yg motornya ga sesuai di aplikasi pesen yg xl datengnya yg mini mini sebenernya kasihan si tp dengan perjalanan jauh dan pantatku yg gede ini sungguh tidak nyaman,negative
Wed Jun 04 10:57:24 +0000 2025,Kapan lagi pake aplikasi Gojek bakal dapetin hadiah menarik! Semakin sering pake PASTIADAJALAN semakin besar peluang menangnya Jangan sampe ketinggalan yaa teman-teman! @gojek_smg @gojekindonesia #GSKSMG2025 https://t.co/lqLHY9peG3,neutral
Wed Jun 04 10:53:22 +0000 2025,Dapet penumpang ibu ibu marah sama gwe Mas saya panggilin juga di sebrang dari tadi Gue dengan lantam Bu saya jemput sesuai titik yang ibu taro yang kedua gausah dipanggil bu saya di dalem mobil kedap suaranya di aplikasi gojek ada fitur chat,neutral
Wed Jun 04 10:27:35 +0000 2025,HAAHH!!!?! kapan lagi setiap pake aplikasi Gojek bakal dapet hadiah menarik!!! Jangan lupa dipake guys kode promo PASTIADAJALAN yaa temen temen siapa tau kalian salah satu yang bakal dapetin hadiah hadiah menariknya! @gojek_smg @gojekindonesia #GSKSMG2025 https://t.co/DwZJ3jD7dK,neutral
Wed Jun 04 10:27:04 +0000 2025,Naik gojek kok motornya beda sama yg di aplikasi kutanya katanya habis ilang pas lagi nunggu antrian go food. Ya Allah orang2 ini kok tega banget ya,negative
Wed Jun 04 06:52:32 +0000 2025,kenapa ya kalo gue lagi jadwalnya ke toko pasti yang belanja minta pesenin grab/gojek?? berguna sekali nih aplikasi di hp gue akwoowkwom,positive
Wed Jun 04 06:18:00 +0000 2025,Priti kau nggak tau kah ada aplikasi namanya Gojek? Naik gojek aja kau ngapain minta nebeng sama Harry? Mau kupesankan biar bisa pulang langsung?,neutral
Wed Jun 04 05:49:16 +0000 2025,@r_aaaaaaa_ @infomalang lha biasane ketok staff e ojol disana jg kok grab / gojek gt kdg nawarin promo aplikasi ke penumpang,neutral
